section,unit,metric,value,n,note
Run configuration,run,run_id,20260814T033139Z,,
Run configuration,generator,model,gpt-4o,,
Run configuration,generator,temperature,0.0,,Fixed across all six conditions.
Run configuration,judge,model,claude-sonnet-4-6,,"Different provider family from the generator, enforced in code."
Run configuration,embedding,model,text-embedding-3-small,,
Run configuration,retrieval,per_type_budget,2,,"Each context type retrieved independently, not a global top-k."
Run configuration,design,n_requirements,20,,
Run configuration,design,n_cells,120,,"6 conditions x 20 requirements, no missing cells."
Run configuration,code,commit,fe1809526cacfb654055df0f6d2ad9058f244949,,
Table 4.1 Layer 1 structural metrics (diagnostic),vanilla,num_user_stories,3.9,20,
Table 4.1 Layer 1 structural metrics (diagnostic),vanilla,well_formedness_rate,0.7792,20,
Table 4.1 Layer 1 structural metrics (diagnostic),vanilla,avg_acceptance_criteria,2.6408,20,
Table 4.1 Layer 1 structural metrics (diagnostic),vanilla,file_reference_specificity,1.0,20,
Table 4.1 Layer 1 structural metrics (diagnostic),vanilla,inter_story_dependency_rate,0.4583,20,
Table 4.1 Layer 1 structural metrics (diagnostic),vanilla,dangling_dependency_count,0,20,
Table 4.1 Layer 1 structural metrics (diagnostic),full_rag,num_user_stories,3.3,20,
Table 4.1 Layer 1 structural metrics (diagnostic),full_rag,well_formedness_rate,0.6333,20,
Table 4.1 Layer 1 structural metrics (diagnostic),full_rag,avg_acceptance_criteria,2.66,20,
Table 4.1 Layer 1 structural metrics (diagnostic),full_rag,file_reference_specificity,0.96,20,
Table 4.1 Layer 1 structural metrics (diagnostic),full_rag,inter_story_dependency_rate,0.4083,20,
Table 4.1 Layer 1 structural metrics (diagnostic),full_rag,dangling_dependency_count,0,20,
Table 4.1 Layer 1 structural metrics (diagnostic),full_rag_minus_past_tickets,num_user_stories,3.55,20,
Table 4.1 Layer 1 structural metrics (diagnostic),full_rag_minus_past_tickets,well_formedness_rate,0.7083,20,
Table 4.1 Layer 1 structural metrics (diagnostic),full_rag_minus_past_tickets,avg_acceptance_criteria,2.6233,20,
Table 4.1 Layer 1 structural metrics (diagnostic),full_rag_minus_past_tickets,file_reference_specificity,1.0,20,
Table 4.1 Layer 1 structural metrics (diagnostic),full_rag_minus_past_tickets,inter_story_dependency_rate,0.4433,20,
Table 4.1 Layer 1 structural metrics (diagnostic),full_rag_minus_past_tickets,dangling_dependency_count,0,20,
Table 4.1 Layer 1 structural metrics (diagnostic),full_rag_minus_design_documents,num_user_stories,3.3,20,
Table 4.1 Layer 1 structural metrics (diagnostic),full_rag_minus_design_documents,well_formedness_rate,0.7667,20,
Table 4.1 Layer 1 structural metrics (diagnostic),full_rag_minus_design_documents,avg_acceptance_criteria,2.775,20,
Table 4.1 Layer 1 structural metrics (diagnostic),full_rag_minus_design_documents,file_reference_specificity,1.0,20,
Table 4.1 Layer 1 structural metrics (diagnostic),full_rag_minus_design_documents,inter_story_dependency_rate,0.4167,20,
Table 4.1 Layer 1 structural metrics (diagnostic),full_rag_minus_design_documents,dangling_dependency_count,0,20,
Table 4.1 Layer 1 structural metrics (diagnostic),full_rag_minus_coding_conventions,num_user_stories,3.45,20,
Table 4.1 Layer 1 structural metrics (diagnostic),full_rag_minus_coding_conventions,well_formedness_rate,0.7708,20,
Table 4.1 Layer 1 structural metrics (diagnostic),full_rag_minus_coding_conventions,avg_acceptance_criteria,2.5558,20,
Table 4.1 Layer 1 structural metrics (diagnostic),full_rag_minus_coding_conventions,file_reference_specificity,1.0,20,
Table 4.1 Layer 1 structural metrics (diagnostic),full_rag_minus_coding_conventions,inter_story_dependency_rate,0.4125,20,
Table 4.1 Layer 1 structural metrics (diagnostic),full_rag_minus_coding_conventions,dangling_dependency_count,0,20,
Table 4.1 Layer 1 structural metrics (diagnostic),full_rag_minus_codebase_summaries,num_user_stories,3.35,20,
Table 4.1 Layer 1 structural metrics (diagnostic),full_rag_minus_codebase_summaries,well_formedness_rate,0.7583,20,
Table 4.1 Layer 1 structural metrics (diagnostic),full_rag_minus_codebase_summaries,avg_acceptance_criteria,2.7133,20,
Table 4.1 Layer 1 structural metrics (diagnostic),full_rag_minus_codebase_summaries,file_reference_specificity,1.0,20,
Table 4.1 Layer 1 structural metrics (diagnostic),full_rag_minus_codebase_summaries,inter_story_dependency_rate,0.3833,20,
Table 4.1 Layer 1 structural metrics (diagnostic),full_rag_minus_codebase_summaries,dangling_dependency_count,0,20,
Table 4.2 Layer 2 file-existence verdicts (diagnostic),vanilla,real_rate,0.0667,20,
Table 4.2 Layer 2 file-existence verdicts (diagnostic),vanilla,ambiguous_rate,0.23,20,
Table 4.2 Layer 2 file-existence verdicts (diagnostic),vanilla,hallucinated_rate,0.7033,20,
Table 4.2 Layer 2 file-existence verdicts (diagnostic),full_rag,real_rate,0.0583,20,
Table 4.2 Layer 2 file-existence verdicts (diagnostic),full_rag,ambiguous_rate,0.4458,20,
Table 4.2 Layer 2 file-existence verdicts (diagnostic),full_rag,hallucinated_rate,0.4958,20,
Table 4.2 Layer 2 file-existence verdicts (diagnostic),full_rag_minus_past_tickets,real_rate,0.0458,20,
Table 4.2 Layer 2 file-existence verdicts (diagnostic),full_rag_minus_past_tickets,ambiguous_rate,0.3983,20,
Table 4.2 Layer 2 file-existence verdicts (diagnostic),full_rag_minus_past_tickets,hallucinated_rate,0.5558,20,
Table 4.2 Layer 2 file-existence verdicts (diagnostic),full_rag_minus_design_documents,real_rate,0.195,20,
Table 4.2 Layer 2 file-existence verdicts (diagnostic),full_rag_minus_design_documents,ambiguous_rate,0.3517,20,
Table 4.2 Layer 2 file-existence verdicts (diagnostic),full_rag_minus_design_documents,hallucinated_rate,0.4533,20,
Table 4.2 Layer 2 file-existence verdicts (diagnostic),full_rag_minus_coding_conventions,real_rate,0.1208,20,
Table 4.2 Layer 2 file-existence verdicts (diagnostic),full_rag_minus_coding_conventions,ambiguous_rate,0.46,20,
Table 4.2 Layer 2 file-existence verdicts (diagnostic),full_rag_minus_coding_conventions,hallucinated_rate,0.4192,20,
Table 4.2 Layer 2 file-existence verdicts (diagnostic),full_rag_minus_codebase_summaries,real_rate,0.2211,20,
Table 4.2 Layer 2 file-existence verdicts (diagnostic),full_rag_minus_codebase_summaries,ambiguous_rate,0.2325,20,
Table 4.2 Layer 2 file-existence verdicts (diagnostic),full_rag_minus_codebase_summaries,hallucinated_rate,0.5464,20,
"Table 4.2 SQ2 test, hallucination rate",vanilla vs full_rag,vanilla_mean,0.7033,17,
"Table 4.2 SQ2 test, hallucination rate",vanilla vs full_rag,full_rag_mean,0.4958,17,
"Table 4.2 SQ2 test, hallucination rate",vanilla vs full_rag,wilcoxon_statistic,33.0,17,
"Table 4.2 SQ2 test, hallucination rate",vanilla vs full_rag,p_value,0.0388,17,"SQ2. Significant reduction in hallucination, driven by a shift to AMBIGUOUS."
"Table 4.2 SQ2 test, hallucination rate",vanilla vs full_rag,rank_biserial,0.5686,17,
"Table 4.3 SQ1 leave-one-out, hallucination rate",full_rag_minus_past_tickets vs full_rag,condition_mean,0.5558,11,
"Table 4.3 SQ1 leave-one-out, hallucination rate",full_rag_minus_past_tickets vs full_rag,full_rag_mean,0.4958,11,
"Table 4.3 SQ1 leave-one-out, hallucination rate",full_rag_minus_past_tickets vs full_rag,wilcoxon_statistic,22.5,11,
"Table 4.3 SQ1 leave-one-out, hallucination rate",full_rag_minus_past_tickets vs full_rag,p_value,0.3501,11,
"Table 4.3 SQ1 leave-one-out, hallucination rate",full_rag_minus_past_tickets vs full_rag,adjusted_p,0.7799,11,SQ1. Holm-Bonferroni over the four leave-one-out tests; none significant.
"Table 4.3 SQ1 leave-one-out, hallucination rate",full_rag_minus_past_tickets vs full_rag,rank_biserial,0.3182,11,
"Table 4.3 SQ1 leave-one-out, hallucination rate",full_rag_minus_design_documents vs full_rag,condition_mean,0.4533,9,
"Table 4.3 SQ1 leave-one-out, hallucination rate",full_rag_minus_design_documents vs full_rag,full_rag_mean,0.4958,9,
"Table 4.3 SQ1 leave-one-out, hallucination rate",full_rag_minus_design_documents vs full_rag,wilcoxon_statistic,13.0,9,
"Table 4.3 SQ1 leave-one-out, hallucination rate",full_rag_minus_design_documents vs full_rag,p_value,0.26,9,
"Table 4.3 SQ1 leave-one-out, hallucination rate",full_rag_minus_design_documents vs full_rag,adjusted_p,0.7799,9,SQ1. Holm-Bonferroni over the four leave-one-out tests; none significant.
"Table 4.3 SQ1 leave-one-out, hallucination rate",full_rag_minus_design_documents vs full_rag,rank_biserial,-0.4222,9,
"Table 4.3 SQ1 leave-one-out, hallucination rate",full_rag_minus_coding_conventions vs full_rag,condition_mean,0.4192,9,
"Table 4.3 SQ1 leave-one-out, hallucination rate",full_rag_minus_coding_conventions vs full_rag,full_rag_mean,0.4958,9,
"Table 4.3 SQ1 leave-one-out, hallucination rate",full_rag_minus_coding_conventions vs full_rag,wilcoxon_statistic,11.5,9,
"Table 4.3 SQ1 leave-one-out, hallucination rate",full_rag_minus_coding_conventions vs full_rag,p_value,0.1886,9,
"Table 4.3 SQ1 leave-one-out, hallucination rate",full_rag_minus_coding_conventions vs full_rag,adjusted_p,0.7544,9,SQ1. Holm-Bonferroni over the four leave-one-out tests; none significant.
"Table 4.3 SQ1 leave-one-out, hallucination rate",full_rag_minus_coding_conventions vs full_rag,rank_biserial,-0.4889,9,
"Table 4.3 SQ1 leave-one-out, hallucination rate",full_rag_minus_codebase_summaries vs full_rag,condition_mean,0.5464,14,
"Table 4.3 SQ1 leave-one-out, hallucination rate",full_rag_minus_codebase_summaries vs full_rag,full_rag_mean,0.4958,14,
"Table 4.3 SQ1 leave-one-out, hallucination rate",full_rag_minus_codebase_summaries vs full_rag,wilcoxon_statistic,48.5,14,
"Table 4.3 SQ1 leave-one-out, hallucination rate",full_rag_minus_codebase_summaries vs full_rag,p_value,0.8015,14,
"Table 4.3 SQ1 leave-one-out, hallucination rate",full_rag_minus_codebase_summaries vs full_rag,adjusted_p,0.8015,14,SQ1. Holm-Bonferroni over the four leave-one-out tests; none significant.
"Table 4.3 SQ1 leave-one-out, hallucination rate",full_rag_minus_codebase_summaries vs full_rag,rank_biserial,0.0762,14,
"Table 4.4 Layer 3 pairwise, SQ1 (descriptive)",full_rag_minus_past_tickets_vs_full_rag,wins_full_rag_minus_past_tickets,10,20,
"Table 4.4 Layer 3 pairwise, SQ1 (descriptive)",full_rag_minus_past_tickets_vs_full_rag,wins_full_rag,6,20,
"Table 4.4 Layer 3 pairwise, SQ1 (descriptive)",full_rag_minus_past_tickets_vs_full_rag,positional_inconsistent,4,20,
"Table 4.4 Layer 3 pairwise, SQ1 (descriptive)",full_rag_minus_past_tickets_vs_full_rag,sign_test_decided,16,20,
"Table 4.4 Layer 3 pairwise, SQ1 (descriptive)",full_rag_minus_past_tickets_vs_full_rag,sign_test_p_value,0.454498,20,"DESCRIPTIVE ONLY: the Layer 4 kappa gate failed, so Layer 3 is not a primary signal."
"Table 4.4 Layer 3 pairwise, SQ1 (descriptive)",full_rag_minus_design_documents_vs_full_rag,wins_full_rag_minus_design_documents,9,20,
"Table 4.4 Layer 3 pairwise, SQ1 (descriptive)",full_rag_minus_design_documents_vs_full_rag,wins_full_rag,7,20,
"Table 4.4 Layer 3 pairwise, SQ1 (descriptive)",full_rag_minus_design_documents_vs_full_rag,positional_inconsistent,4,20,
"Table 4.4 Layer 3 pairwise, SQ1 (descriptive)",full_rag_minus_design_documents_vs_full_rag,sign_test_decided,16,20,
"Table 4.4 Layer 3 pairwise, SQ1 (descriptive)",full_rag_minus_design_documents_vs_full_rag,sign_test_p_value,0.803619,20,"DESCRIPTIVE ONLY: the Layer 4 kappa gate failed, so Layer 3 is not a primary signal."
"Table 4.4 Layer 3 pairwise, SQ1 (descriptive)",full_rag_minus_coding_conventions_vs_full_rag,wins_full_rag_minus_coding_conventions,10,20,
"Table 4.4 Layer 3 pairwise, SQ1 (descriptive)",full_rag_minus_coding_conventions_vs_full_rag,wins_full_rag,6,20,
"Table 4.4 Layer 3 pairwise, SQ1 (descriptive)",full_rag_minus_coding_conventions_vs_full_rag,positional_inconsistent,4,20,
"Table 4.4 Layer 3 pairwise, SQ1 (descriptive)",full_rag_minus_coding_conventions_vs_full_rag,sign_test_decided,16,20,
"Table 4.4 Layer 3 pairwise, SQ1 (descriptive)",full_rag_minus_coding_conventions_vs_full_rag,sign_test_p_value,0.454498,20,"DESCRIPTIVE ONLY: the Layer 4 kappa gate failed, so Layer 3 is not a primary signal."
"Table 4.4 Layer 3 pairwise, SQ1 (descriptive)",full_rag_minus_codebase_summaries_vs_full_rag,wins_full_rag_minus_codebase_summaries,9,20,
"Table 4.4 Layer 3 pairwise, SQ1 (descriptive)",full_rag_minus_codebase_summaries_vs_full_rag,wins_full_rag,9,20,
"Table 4.4 Layer 3 pairwise, SQ1 (descriptive)",full_rag_minus_codebase_summaries_vs_full_rag,positional_inconsistent,2,20,
"Table 4.4 Layer 3 pairwise, SQ1 (descriptive)",full_rag_minus_codebase_summaries_vs_full_rag,sign_test_decided,18,20,
"Table 4.4 Layer 3 pairwise, SQ1 (descriptive)",full_rag_minus_codebase_summaries_vs_full_rag,sign_test_p_value,1.0,20,"DESCRIPTIVE ONLY: the Layer 4 kappa gate failed, so Layer 3 is not a primary signal."
"Table 4.4 Layer 3 pairwise, SQ2 (descriptive)",vanilla_vs_full_rag,wins_vanilla,9,20,
"Table 4.4 Layer 3 pairwise, SQ2 (descriptive)",vanilla_vs_full_rag,wins_full_rag,7,20,
"Table 4.4 Layer 3 pairwise, SQ2 (descriptive)",vanilla_vs_full_rag,positional_inconsistent,4,20,
"Table 4.4 Layer 3 pairwise, SQ2 (descriptive)",vanilla_vs_full_rag,sign_test_decided,16,20,
"Table 4.4 Layer 3 pairwise, SQ2 (descriptive)",vanilla_vs_full_rag,sign_test_p_value,0.803619,20,"DESCRIPTIVE ONLY: the Layer 4 kappa gate failed, so Layer 3 is not a primary signal."
"Table 4.4 Layer 3 pairwise, SQ3 (descriptive)",vanilla_vs_reference,wins_vanilla,18,20,
"Table 4.4 Layer 3 pairwise, SQ3 (descriptive)",vanilla_vs_reference,wins_reference,0,20,
"Table 4.4 Layer 3 pairwise, SQ3 (descriptive)",vanilla_vs_reference,positional_inconsistent,2,20,
"Table 4.4 Layer 3 pairwise, SQ3 (descriptive)",vanilla_vs_reference,sign_test_decided,18,20,
"Table 4.4 Layer 3 pairwise, SQ3 (descriptive)",vanilla_vs_reference,sign_test_p_value,8e-06,20,"DESCRIPTIVE ONLY: the Layer 4 kappa gate failed, so Layer 3 is not a primary signal."
"Table 4.4 Layer 3 pairwise, SQ3 (descriptive)",full_rag_vs_reference,wins_full_rag,19,20,
"Table 4.4 Layer 3 pairwise, SQ3 (descriptive)",full_rag_vs_reference,wins_reference,0,20,
"Table 4.4 Layer 3 pairwise, SQ3 (descriptive)",full_rag_vs_reference,positional_inconsistent,1,20,
"Table 4.4 Layer 3 pairwise, SQ3 (descriptive)",full_rag_vs_reference,sign_test_decided,19,20,
"Table 4.4 Layer 3 pairwise, SQ3 (descriptive)",full_rag_vs_reference,sign_test_p_value,4e-06,20,"DESCRIPTIVE ONLY: the Layer 4 kappa gate failed, so Layer 3 is not a primary signal."
Table 4.5 Layer 4 researcher-versus-judge agreement,overall,kappa,0.5649,19,"Gate metric. 0.5649 is below the 0.60 threshold, so Layer 3 is reported descriptively."
Table 4.5 Layer 4 researcher-versus-judge agreement,overall,ci95_low,0.1305,19,
Table 4.5 Layer 4 researcher-versus-judge agreement,overall,ci95_high,0.9993,19,
Table 4.5 Layer 4 researcher-versus-judge agreement,overall,raw_agreement,0.8421,19,
Table 4.5 Layer 4 researcher-versus-judge agreement,pooled_criteria,kappa,0.6,72,
Table 4.5 Layer 4 researcher-versus-judge agreement,pooled_criteria,ci95_low,0.4001,72,
Table 4.5 Layer 4 researcher-versus-judge agreement,pooled_criteria,ci95_high,0.7999,72,
Table 4.5 Layer 4 researcher-versus-judge agreement,pooled_criteria,raw_agreement,0.8333,72,
Table 4.5 Layer 4 researcher-versus-judge agreement,actionability,kappa,0.6735,16,
Table 4.5 Layer 4 researcher-versus-judge agreement,actionability,ci95_low,0.2734,16,
Table 4.5 Layer 4 researcher-versus-judge agreement,actionability,ci95_high,1.0,16,
Table 4.5 Layer 4 researcher-versus-judge agreement,actionability,raw_agreement,0.875,16,
Table 4.5 Layer 4 researcher-versus-judge agreement,completeness,kappa,0.6129,16,
Table 4.5 Layer 4 researcher-versus-judge agreement,completeness,ci95_low,0.2224,16,
Table 4.5 Layer 4 researcher-versus-judge agreement,completeness,ci95_high,1.0,16,
Table 4.5 Layer 4 researcher-versus-judge agreement,completeness,raw_agreement,0.8125,16,
Table 4.5 Layer 4 researcher-versus-judge agreement,project_specificity,kappa,0.56,11,
Table 4.5 Layer 4 researcher-versus-judge agreement,project_specificity,ci95_low,0.0647,11,
Table 4.5 Layer 4 researcher-versus-judge agreement,project_specificity,ci95_high,1.0,11,
Table 4.5 Layer 4 researcher-versus-judge agreement,project_specificity,raw_agreement,0.8182,11,
Table 4.5 Layer 4 researcher-versus-judge agreement,granularity,kappa,0.3171,14,
Table 4.5 Layer 4 researcher-versus-judge agreement,granularity,ci95_low,-0.1899,14,
Table 4.5 Layer 4 researcher-versus-judge agreement,granularity,ci95_high,0.8241,14,
Table 4.5 Layer 4 researcher-versus-judge agreement,granularity,raw_agreement,0.7143,14,
Table 4.5 Layer 4 researcher-versus-judge agreement,clarity,kappa,0.8148,15,
Table 4.5 Layer 4 researcher-versus-judge agreement,clarity,ci95_low,0.4702,15,
Table 4.5 Layer 4 researcher-versus-judge agreement,clarity,ci95_high,1.0,15,
Table 4.5 Layer 4 researcher-versus-judge agreement,clarity,raw_agreement,0.9333,15,
Section 4.6 judge positional inconsistency,all comparisons,rate,0.15,140,Comparisons where the two presentation orders disagreed on the winner.
