run_id,issue_key,condition,generator_model,generator_temperature,summaries_incomplete,layer1_num_user_stories,layer1_well_formedness_rate,layer1_avg_acceptance_criteria,layer1_file_reference_specificity,layer1_inter_story_dependency_rate,layer1_dangling_dependency_count,layer2_total_references,layer2_unique_references,layer2_real_rate,layer2_ambiguous_rate,layer2_hallucinated_rate,layer2_count_real,layer2_count_ambiguous,layer2_count_hallucinated,layer2_tracked_paths_in_window
20260814T033139Z,PIG-626,vanilla,gpt-4o,0.0,False,4,1.0,3,1.0,0.75,0,6,3,0.0,0.3333,0.6667,0,2,4,823
20260814T033139Z,PIG-626,full_rag,gpt-4o,0.0,False,3,0.0,3,1.0,0.6667,0,6,3,0.0,0.1667,0.8333,0,1,5,823
20260814T033139Z,PIG-626,full_rag_minus_past_tickets,gpt-4o,0.0,False,4,1.0,2,1.0,0.75,0,6,4,0.0,0.0,1.0,0,0,6,823
20260814T033139Z,PIG-626,full_rag_minus_design_documents,gpt-4o,0.0,False,2,1.0,3,1.0,0.5,0,4,2,0.0,0.0,1.0,0,0,4,823
20260814T033139Z,PIG-626,full_rag_minus_coding_conventions,gpt-4o,0.0,False,3,1.0,2,1.0,0.6667,0,6,3,0.0,0.1667,0.8333,0,1,5,823
20260814T033139Z,PIG-626,full_rag_minus_codebase_summaries,gpt-4o,0.0,False,3,1.0,3,1.0,0.6667,0,7,3,0.5714,0.0,0.4286,4,0,3,823
20260814T033139Z,PIG-627,vanilla,gpt-4o,0.0,False,3,0.3333,3,1.0,0.6667,0,4,4,0.0,0.25,0.75,0,1,3,814
20260814T033139Z,PIG-627,full_rag,gpt-4o,0.0,False,3,0.0,2,1.0,0.3333,0,4,3,0.0,0.5,0.5,0,2,2,814
20260814T033139Z,PIG-627,full_rag_minus_past_tickets,gpt-4o,0.0,False,4,0.25,2,1.0,0.75,0,5,4,0.0,0.4,0.6,0,2,3,814
20260814T033139Z,PIG-627,full_rag_minus_design_documents,gpt-4o,0.0,False,3,0.0,2,1.0,0.3333,0,4,3,0.0,0.5,0.5,0,2,2,814
20260814T033139Z,PIG-627,full_rag_minus_coding_conventions,gpt-4o,0.0,False,3,0.0,2,1.0,0.3333,0,5,2,0.0,0.6,0.4,0,3,2,814
20260814T033139Z,PIG-627,full_rag_minus_codebase_summaries,gpt-4o,0.0,False,3,0.3333,2,1.0,0.3333,0,3,2,0.0,0.6667,0.3333,0,2,1,814
20260814T033139Z,PIG-692,vanilla,gpt-4o,0.0,False,2,1.0,3,1.0,0.5,0,3,2,0.3333,0.0,0.6667,1,0,2,733
20260814T033139Z,PIG-692,full_rag,gpt-4o,0.0,False,3,1.0,3,1.0,0.6667,0,4,3,0.25,0.5,0.25,1,2,1,733
20260814T033139Z,PIG-692,full_rag_minus_past_tickets,gpt-4o,0.0,False,3,0.3333,2,1.0,0.6667,0,3,2,0.0,0.3333,0.6667,0,1,2,733
20260814T033139Z,PIG-692,full_rag_minus_design_documents,gpt-4o,0.0,False,3,1.0,3,1.0,0.6667,0,5,4,0.0,0.4,0.6,0,2,3,733
20260814T033139Z,PIG-692,full_rag_minus_coding_conventions,gpt-4o,0.0,False,3,1.0,3,1.0,0.6667,0,4,3,0.25,0.5,0.25,1,2,1,733
20260814T033139Z,PIG-692,full_rag_minus_codebase_summaries,gpt-4o,0.0,False,3,1.0,2.3333,1.0,0.6667,0,5,2,0.6,0.0,0.4,3,0,2,733
20260814T033139Z,PIG-704,vanilla,gpt-4o,0.0,False,2,0.5,1.5,1.0,0.0,0,4,3,0.0,0.0,1.0,0,0,4,781
20260814T033139Z,PIG-704,full_rag,gpt-4o,0.0,False,2,0.5,2,1.0,0.0,0,4,3,0.0,0.0,1.0,0,0,4,781
