run_id,issue_key,condition,epic_summary,story_position,story_id,story,complexity,num_acceptance_criteria,acceptance_criteria,dependencies,num_source_files,source_files
20260814T033139Z,PIG-626,vanilla,Implement statistics tracking for records read by each mapper and reducer using Hadoop's counters framework.,1,US-1,"As a developer, I want to access the number of records read by each mapper for the last job in a script, so that I can analyze mapper performance.",M,3,The system retrieves the number of records read by each mapper for the last job. | The retrieved statistics are accurate and reflect the actual number of records processed. | The statistics are accessible via a defined API or method.,,2,src/main/java/org/apache/pig/tools/pigstats/PigStats.java | src/main/java/org/apache/pig/backend/hadoop/executionengine/mapReduceLayer/MRJobStats.java
20260814T033139Z,PIG-626,vanilla,Implement statistics tracking for records read by each mapper and reducer using Hadoop's counters framework.,2,US-2,"As a developer, I want to access the number of records read by each reducer for the last job in a script, so that I can analyze reducer performance.",M,3,The system retrieves the number of records read by each reducer for the last job. | The retrieved statistics are accurate and reflect the actual number of records processed. | The statistics are accessible via a defined API or method.,US-1,2,src/main/java/org/apache/pig/tools/pigstats/PigStats.java | src/main/java/org/apache/pig/backend/hadoop/executionengine/mapReduceLayer/MRJobStats.java
20260814T033139Z,PIG-626,vanilla,Implement statistics tracking for records read by each mapper and reducer using Hadoop's counters framework.,3,US-3,"As a tester, I want to verify that the statistics for records read by mappers and reducers are correctly implemented for PigStorage and BinStorage, so that I can ensure data integrity.",S,3,Test cases for PigStorage verify the correct number of records read by mappers and reducers. | Test cases for BinStorage verify the correct number of records read by mappers and reducers. | All tests pass successfully without errors.,US-1 | US-2,1,src/test/java/org/apache/pig/test/TestPigStats.java
20260814T033139Z,PIG-626,vanilla,Implement statistics tracking for records read by each mapper and reducer using Hadoop's counters framework.,4,US-4,"As a tester, I want to verify that the statistics for records read by mappers and reducers are correctly implemented for multiple MR jobs, so that I can ensure consistency across jobs.",M,3,Test cases for multiple MR jobs verify the correct number of records read by mappers and reducers. | The statistics are consistent across different MR jobs. | All tests pass successfully without errors.,US-1 | US-2,1,src/test/java/org/apache/pig/test/TestPigStats.java
20260814T033139Z,PIG-626,full_rag,Enhance Pig's statistics collection to include records read by each mapper and reducer using Hadoop counters.,1,US-1,"As a developer, I want to collect the number of records read by each mapper in the last job of a Pig script to analyze performance.",M,3,The system should accurately report the number of records read by each mapper. | The statistics should be accessible via the PigStats interface. | Test cases should validate the accuracy of the mapper records read count.,,2,MRJobStats.java | MRPigStatsUtil.java
20260814T033139Z,PIG-626,full_rag,Enhance Pig's statistics collection to include records read by each mapper and reducer using Hadoop counters.,2,US-2,"As a developer, I want to collect the number of records read by each reducer in the last job of a Pig script to analyze performance.",M,3,The system should accurately report the number of records read by each reducer. | The statistics should be accessible via the PigStats interface. | Test cases should validate the accuracy of the reducer records read count.,US-1,2,MRJobStats.java | MRPigStatsUtil.java
20260814T033139Z,PIG-626,full_rag,Enhance Pig's statistics collection to include records read by each mapper and reducer using Hadoop counters.,3,US-3,"As a developer, I want to ensure that the statistics collection for records read by mappers and reducers is integrated with existing PigStats framework.",L,3,The new statistics should be seamlessly integrated with the existing PigStats framework. | Existing functionalities of PigStats should remain unaffected. | Documentation should be updated to reflect the new statistics available.,US-1 | US-2,2,PigStats.java | MRPigStatsUtil.java
20260814T033139Z,PIG-626,full_rag_minus_past_tickets,Enhance Pig Statistics to track records read by each mapper and reducer for the last job in a Pig script.,1,US-1,"As a developer, I want to extend the MRJobStats class to include counters for records read by each mapper and reducer, so that I can track detailed statistics for the last job in a Pig script.",M,2,MRJobStats class includes methods to retrieve the number of records read by each mapper and reducer. | Unit tests validate the correct retrieval of these statistics.,,1,MRJobStats.java
20260814T033139Z,PIG-626,full_rag_minus_past_tickets,Enhance Pig Statistics to track records read by each mapper and reducer for the last job in a Pig script.,2,US-2,"As a developer, I want to modify the MRPigStatsUtil class to utilize the new counters in MRJobStats, so that I can collect and manage these statistics effectively.",M,2,MRPigStatsUtil class can start and stop collection of records read statistics. | Integration tests confirm the collection process for multiple MR jobs.,US-1,1,MRPigStatsUtil.java
20260814T033139Z,PIG-626,full_rag_minus_past_tickets,Enhance Pig Statistics to track records read by each mapper and reducer for the last job in a Pig script.,3,US-3,"As a developer, I want to implement a method to access the statistics for the last job in a Pig script, so that I can output the number of records read by each mapper and reducer.",S,2,Method outputs correct statistics for the last job in a Pig script. | Sample code provided in the requirement works as expected.,US-1 | US-2,2,MRJobStats.java | MRPigStatsUtil.java
